D,Desert,Veg,S,Y
17.5,2,13,0,NA
22.5,2,13,0,NA
27.5,2,13,0,NA
32.5,2,13,0,NA
37.5,2,13,0,NA
42.5,2,13,1,NA
47.5,2,13,1,NA
55,2,13,1,NA
65,2,13,1,NA
75,2,13,1,NA
90,2,13,1,NA
1,2,1,0,NA
7.5,2,1,0,NA
12.5,2,1,0,NA
17.5,2,1,0,NA
22.5,2,1,0,NA
27.5,2,1,0,NA
32.5,2,1,0,NA
37.5,2,1,0,NA
42.5,2,1,1,NA
47.5,2,1,1,NA
55,2,1,0,NA
65,2,1,0,NA
75,2,1,0,NA
90,2,1,0,NA
1,2,3,1,NA
3.5,2,3,0,NA
7.5,2,3,0,NA
12.5,2,3,0,NA
17.5,2,3,0,NA
22.5,2,3,0,NA
27.5,2,3,0,NA
32.5,2,3,0,NA
37.5,2,3,0,NA
42.5,2,3,0,NA
47.5,2,3,0,NA
55,2,3,1,NA
65,2,3,0,NA
75,2,3,0,NA
90,2,3,0,NA
1,2,13,1,NA
3.5,2,13,0,-6.947680872
7.5,2,13,0,-4.918914172
12.5,2,13,0,NA
17.5,2,13,0,NA
22.5,2,13,0,NA
27.5,2,13,0,NA
32.5,2,13,0,NA
37.5,2,13,1,NA
42.5,2,13,0,NA
47.5,2,13,1,NA
55,2,13,1,NA
65,2,13,0,NA
75,2,13,0,NA
90,2,13,1,NA
1,2,1,0,-7.344331382
3.5,2,1,0,-5.245919303
7.5,2,1,0,-5.584957229
12.5,2,1,0,NA
17.5,2,1,0,NA
22.5,2,1,0,NA
27.5,2,1,0,NA
32.5,2,1,0,NA
37.5,2,1,0,NA
47.5,2,1,0,NA
55,2,1,0,NA
65,2,1,0,NA
75,2,1,1,NA
90,2,1,0,NA
1,2,3,0,-5.311651494
3.5,2,3,0,-3.531482771
7.5,2,3,0,-3.49777134
12.5,2,3,0,NA
17.5,2,3,0,NA
22.5,2,3,0,NA
27.5,2,3,0,NA
32.5,2,3,0,NA
37.5,2,3,1,NA
42.5,2,3,0,NA
47.5,2,3,1,NA
55,2,3,1,NA
65,2,3,1,NA
75,2,3,1,NA
90,2,3,1,NA
1,2,13,1,NA
3.5,2,13,0,NA
7.5,2,13,0,NA
12.5,2,13,0,NA
17.5,2,13,0,NA
22.5,2,13,0,NA
27.5,2,13,1,NA
32.5,2,13,1,NA
37.5,2,13,1,NA
42.5,2,13,0,NA
47.5,2,13,1,NA
55,2,13,1,NA
65,2,13,1,NA
75,2,13,1,NA
90,2,13,1,NA
1,3,4,0,-7.486893543
3.5,3,4,0,-6.125343757
7.5,3,4,0,-6.690173157
12.5,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,0,NA
27.5,3,4,0,NA
32.5,3,4,1,NA
37.5,3,4,0,NA
42.5,3,4,0,NA
47.5,3,4,0,NA
55,3,4,0,NA
65,3,4,0,NA
75,3,4,1,NA
90,3,4,1,NA
1,3,4,0,-7.140905737
3.5,3,4,0,-7.441743891
7.5,3,4,0,-6.678316444
12.5,3,4,1,NA
17.5,3,4,0,NA
22.5,3,4,0,NA
27.5,3,4,0,NA
32.5,3,4,0,NA
37.5,3,4,0,NA
42.5,3,4,0,NA
47.5,3,4,1,NA
55,3,4,1,NA
65,3,4,1,NA
75,3,4,1,NA
90,3,4,1,NA
1,3,4,0,-6.821365718
3.5,3,4,0,-6.121642668
7.5,3,4,0,-7.684469314
12.5,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,1,NA
27.5,3,4,1,NA
37.5,3,4,0,NA
42.5,3,4,0,NA
47.5,3,4,1,NA
55,3,4,1,NA
1,3,4,0,-6.611251803
3.5,3,4,0,-7.577548534
7.5,3,4,0,-7.180590843
12.5,3,4,0,NA
17.5,3,4,0,NA
22.5,3,4,1,NA
27.5,3,4,1,NA
32.5,3,4,1,NA
37.5,3,4,1,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
55,3,4,1,NA
65,3,4,1,NA
75,3,4,1,NA
90,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,0,NA
27.5,3,4,1,NA
32.5,3,4,1,NA
37.5,3,4,0,NA
42.5,3,4,0,NA
47.5,3,4,0,NA
55,3,4,1,NA
65,3,4,1,NA
75,3,4,1,NA
90,3,4,1,NA
1,3,4,0,-7.843908968
3.5,3,4,0,-6.808909444
7.5,3,4,0,-7.846003178
1,3,11,0,-6.126305566
3.5,3,11,0,-6.488012254
7.5,3,11,0,-7.036377904
12.5,3,11,1,NA
17.5,3,11,0,NA
22.5,3,11,1,NA
27.5,3,11,1,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,1,NA
47.5,3,11,1,NA
55,3,11,1,NA
65,3,11,1,NA
75,3,11,1,NA
90,3,11,1,NA
1,3,11,0,-6.239276915
3.5,3,11,0,-5.504218379
7.5,3,11,0,-4.868929128
12.5,3,11,1,NA
17.5,3,11,1,NA
22.5,3,11,1,NA
27.5,3,11,1,NA
32.5,3,11,0,NA
37.5,3,11,1,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,1,NA
65,3,11,0,NA
75,3,11,1,NA
90,3,11,1,NA
1,3,11,0,-4.23422244
3.5,3,11,0,-3.298759224
7.5,3,11,0,-5.049916766
12.5,3,11,1,NA
17.5,3,11,0,NA
22.5,3,11,1,NA
27.5,3,11,1,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,1,NA
55,3,11,1,NA
3.5,3,11,0,-6.144825441
7.5,3,11,0,-7.820113288
12.5,3,11,1,NA
17.5,3,11,1,NA
22.5,3,11,0,NA
27.5,3,11,1,NA
32.5,3,11,1,NA
37.5,3,11,1,NA
42.5,3,11,1,NA
47.5,3,11,1,NA
55,3,11,1,NA
65,3,11,1,NA
75,3,11,1,NA
90,3,11,1,NA
12.5,3,11,0,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,0,NA
65,3,11,0,NA
75,3,11,1,NA
90,3,11,1,NA
1,3,11,0,-5.744999196
3.5,3,11,0,-5.865767929
7.5,3,11,0,-8.326714822
12.5,3,11,0,-10.19410282
27.5,3,11,0,-8.509841232
12.5,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,1,NA
27.5,3,4,1,NA
32.5,3,4,0,NA
37.5,3,4,0,NA
47.5,3,4,0,NA
55,3,4,1,NA
65,3,4,1,NA
75,3,4,1,NA
90,3,4,1,NA
1,3,4,0,-7.911157383
3.5,3,4,0,-7.747769535
7.5,3,4,0,-8.272477721
12.5,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,1,NA
27.5,3,4,0,NA
32.5,3,4,0,NA
37.5,3,4,0,NA
42.5,3,4,0,NA
47.5,3,4,1,NA
55,3,4,1,NA
65,3,4,1,NA
12.5,3,4,0,NA
17.5,3,4,0,NA
22.5,3,4,0,NA
27.5,3,4,0,NA
32.5,3,4,1,NA
37.5,3,4,1,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
55,3,4,1,NA
65,3,4,1,NA
75,3,4,1,NA
1,3,4,0,-6.999523841
3.5,3,4,0,-8.679843362
7.5,3,4,1,NA
12.5,3,4,0,NA
17.5,3,4,1,NA
22.5,3,4,1,NA
27.5,3,4,0,NA
32.5,3,4,0,NA
37.5,3,4,1,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
55,3,4,0,NA
65,3,4,1,NA
75,3,4,0,NA
90,3,4,1,NA
1,3,4,0,-7.848470295
3.5,3,4,0,-7.764417322
7.5,3,4,0,-5.954541193
12.5,3,4,1,NA
27.5,3,4,1,NA
32.5,3,4,1,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
55,3,4,1,NA
65,3,4,1,NA
1,3,4,0,-7.107853497
3.5,3,4,0,-8.051277196
7.5,3,4,0,-6.457882209
12.5,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,1,NA
27.5,3,4,0,NA
32.5,3,4,1,NA
37.5,3,4,0,NA
42.5,3,4,1,NA
47.5,3,4,0,NA
55,3,4,0,NA
65,3,4,0,NA
75,3,4,0,NA
90,3,4,1,NA
1,3,11,0,-5.057106168
3.5,3,11,1,NA
7.5,3,11,1,NA
12.5,3,11,0,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,1,NA
65,3,11,1,NA
75,3,11,0,NA
90,3,11,1,NA
1,3,11,0,-5.957704308
3.5,3,11,0,-6.40615365
7.5,3,11,0,-6.631852613
12.5,3,11,0,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,1,NA
55,3,11,1,NA
65,3,11,1,NA
1,3,11,0,-5.309293493
3.5,3,11,0,-5.139531475
12.5,3,11,1,NA
17.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,1,NA
65,3,11,1,NA
75,3,11,1,NA
3.5,3,11,0,-6.629113303
7.5,3,11,0,-6.994588069
12.5,3,11,1,NA
17.5,3,11,1,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,1,NA
42.5,3,11,0,NA
47.5,3,11,1,NA
55,3,11,0,NA
65,3,11,1,NA
75,3,11,1,NA
90,3,11,1,NA
1,3,11,0,-4.956880732
3.5,3,11,0,-5.264355529
7.5,3,11,0,-5.104457274
12.5,3,11,0,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,1,NA
47.5,3,11,1,NA
55,3,11,1,NA
65,3,11,0,NA
75,3,11,1,NA
90,3,11,1,NA
1,3,11,0,-6.138767393
3.5,3,11,0,-6.730114641
7.5,3,11,0,-5.076328362
12.5,3,11,1,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,1,NA
47.5,3,11,0,NA
55,3,11,0,NA
65,3,11,1,NA
75,3,11,1,NA
90,3,11,1,NA
12.5,3,4,0,NA
17.5,3,4,0,NA
22.5,3,4,1,NA
27.5,3,4,0,NA
32.5,3,4,0,NA
37.5,3,4,0,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
55,3,4,0,NA
65,3,4,1,NA
75,3,4,1,NA
90,3,4,1,NA
12.5,3,4,1,NA
17.5,3,4,1,NA
22.5,3,4,0,NA
27.5,3,4,0,NA
32.5,3,4,0,NA
37.5,3,4,0,NA
47.5,3,4,1,NA
42.5,3,4,1,NA
55,3,4,1,NA
65,3,4,0,NA
75,3,4,1,NA
90,3,4,1,NA
1,3,4,0,-6.560849313
3.5,3,4,0,-6.941522447
7.5,3,4,0,-7.274931414
12.5,3,4,1,NA
17.5,3,4,0,NA
22.5,3,4,0,NA
27.5,3,4,0,NA
32.5,3,4,1,NA
37.5,3,4,0,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
65,3,4,0,NA
75,3,4,1,NA
90,3,4,1,NA
12.5,3,4,1,NA
17.5,3,4,0,NA
22.5,3,4,1,NA
27.5,3,4,1,NA
32.5,3,4,0,NA
37.5,3,4,1,NA
42.5,3,4,1,NA
47.5,3,4,1,NA
65,3,4,0,NA
75,3,4,1,NA
90,3,4,1,NA
12.5,3,4,0,NA
17.5,3,4,0,NA
22.5,3,4,0,NA
27.5,3,4,0,NA
32.5,3,4,0,NA
37.5,3,4,0,NA
42.5,3,4,0,NA
47.5,3,4,0,NA
55,3,4,1,NA
65,3,4,0,NA
75,3,4,0,NA
1,3,11,1,NA
3.5,3,11,1,NA
7.5,3,11,0,-7.186491204
12.5,3,11,1,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,1,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,1,NA
65,3,11,1,NA
75,3,11,1,NA
90,3,11,1,NA
1,3,11,0,-6.585251692
12.5,3,11,1,NA
17.5,3,11,0,NA
22.5,3,11,1,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,1,NA
47.5,3,11,1,NA
55,3,11,0,NA
65,3,11,0,NA
75,3,11,0,NA
90,3,11,0,NA
12.5,3,11,0,NA
17.5,3,11,0,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,1,NA
65,3,11,1,NA
75,3,11,1,NA
90,3,11,1,NA
12.5,3,11,1,NA
17.5,3,11,1,NA
22.5,3,11,0,NA
27.5,3,11,1,NA
32.5,3,11,1,NA
37.5,3,11,0,NA
42.5,3,11,1,NA
47.5,3,11,1,NA
55,3,11,0,NA
65,3,11,0,NA
75,3,11,1,NA
90,3,11,1,NA
12.5,3,11,1,NA
17.5,3,11,1,NA
22.5,3,11,0,NA
27.5,3,11,0,NA
32.5,3,11,0,NA
37.5,3,11,0,NA
42.5,3,11,0,NA
47.5,3,11,0,NA
55,3,11,0,NA
65,3,11,1,NA
75,3,11,0,NA
90,3,11,1,NA
12.5,4,12,0,NA
17.5,4,12,1,NA
22.5,4,12,0,NA
27.5,4,12,0,NA
32.5,4,12,1,NA
37.5,4,12,1,NA
42.5,4,12,0,NA
47.5,4,12,1,NA
55,4,12,1,NA
65,4,12,1,NA
75,4,12,1,NA
90,4,12,1,NA
12.5,4,12,0,NA
17.5,4,12,1,NA
22.5,4,12,1,NA
27.5,4,12,1,NA
32.5,4,12,1,NA
37.5,4,12,1,NA
42.5,4,12,1,NA
47.5,4,12,1,NA
55,4,12,1,NA
65,4,12,1,NA
75,4,12,1,NA
90,4,12,1,NA
12.5,4,12,1,NA
17.5,4,12,0,NA
27.5,4,12,0,NA
32.5,4,12,1,NA
37.5,4,12,1,NA
42.5,4,12,0,NA
47.5,4,12,1,NA
12.5,4,12,0,NA
17.5,4,12,1,NA
22.5,4,12,1,NA
27.5,4,12,1,NA
32.5,4,12,1,NA
37.5,4,12,1,NA
42.5,4,12,1,NA
47.5,4,12,1,NA
55,4,12,1,NA
65,4,12,1,NA
75,4,12,1,NA
90,4,12,1,NA
12.5,4,12,1,NA
17.5,4,12,0,NA
22.5,4,12,0,NA
32.5,4,12,1,NA
37.5,4,12,1,NA
42.5,4,12,1,NA
47.5,4,12,0,NA
55,4,12,1,NA
65,4,12,1,NA
75,4,12,1,NA
90,4,12,1,NA
12.5,1,7,0,NA
17.5,1,7,1,NA
22.5,1,7,0,NA
27.5,1,7,1,NA
32.5,1,7,0,NA
37.5,1,7,0,NA
42.5,1,7,0,NA
47.5,1,7,0,NA
55,1,7,1,NA
65,1,7,1,NA
75,1,7,1,NA
90,1,7,1,NA
12.5,1,7,1,NA
17.5,1,7,1,NA
22.5,1,7,1,NA
27.5,1,7,0,NA
32.5,1,7,1,NA
37.5,1,7,1,NA
42.5,1,7,0,NA
47.5,1,7,1,NA
55,1,7,1,NA
65,1,7,1,NA
75,1,7,1,NA
90,1,7,1,NA
12.5,1,7,0,NA
17.5,1,7,1,NA
22.5,1,7,1,NA
27.5,1,7,1,NA
32.5,1,7,1,NA
37.5,1,7,0,NA
42.5,1,7,1,NA
47.5,1,7,0,NA
55,1,7,0,NA
65,1,7,0,NA
75,1,7,1,NA
90,1,7,0,NA
12.5,1,7,0,NA
17.5,1,7,1,NA
22.5,1,7,0,NA
27.5,1,7,1,NA
32.5,1,7,1,NA
37.5,1,7,0,NA
42.5,1,7,1,NA
47.5,1,7,0,NA
55,1,7,1,NA
65,1,7,1,NA
75,1,7,1,NA
90,1,7,1,NA
3.5,1,7,0,-5.75177065
7.5,1,7,0,-4.838087599
27.5,1,7,0,NA
42.5,1,7,1,NA
47.5,1,7,1,NA
1,5,8,0,-5.697998584
3.5,5,8,0,-5.481150488
7.5,5,8,0,-5.818717013
12.5,5,8,0,NA
17.5,5,8,0,NA
22.5,5,8,0,NA
27.5,5,8,1,NA
32.5,5,8,1,NA
37.5,5,8,1,NA
42.5,5,8,1,NA
47.5,5,8,0,NA
55,5,8,1,NA
1,5,8,0,-5.270046485
3.5,5,8,0,-5.31029262
7.5,5,8,0,-6.193013977
1,5,8,0,-5.738561556
3.5,5,8,0,-5.9657706
7.5,5,8,0,-6.032486522
12.5,5,8,0,NA
17.5,5,8,0,NA
22.5,5,8,1,NA
27.5,5,8,0,NA
32.5,5,8,1,NA
37.5,5,8,1,NA
42.5,5,8,1,NA
47.5,5,8,0,NA
55,5,8,1,NA
3.5,5,8,0,NA
7.5,5,8,0,NA
12.5,5,8,0,-8.444745379
17.5,5,8,0,NA
22.5,5,8,1,NA
27.5,5,8,1,NA
32.5,5,8,1,NA
37.5,5,8,1,NA
42.5,5,8,1,NA
47.5,5,8,1,NA
55,5,8,1,NA
1,5,8,0,-7.616960339
3.5,5,8,0,-5.867765609
7.5,5,8,0,-5.651132599
12.5,5,8,0,NA
17.5,5,8,1,NA
22.5,5,8,0,NA
27.5,5,8,1,NA
32.5,5,8,0,NA
37.5,5,8,1,NA
42.5,5,8,1,NA
47.5,5,8,1,NA
55,5,8,1,NA
1,5,8,0,-9.419506695
3.5,5,8,0,-6.183268779
7.5,5,8,0,-5.364317392
12.5,5,8,0,NA
17.5,5,8,0,NA
22.5,5,8,0,NA
27.5,5,8,0,NA
32.5,5,8,0,NA
37.5,5,8,1,NA
42.5,5,8,0,NA
47.5,5,8,1,NA
55,5,8,1,NA
1,5,9,0,-5.112385996
3.5,5,9,0,-5.747780596
7.5,5,9,0,-5.341172795
12.5,5,9,0,NA
17.5,5,9,1,NA
22.5,5,9,1,NA
27.5,5,9,1,NA
32.5,5,9,0,NA
37.5,5,9,0,NA
42.5,5,9,0,NA
47.5,5,9,0,NA
55,5,9,0,NA
1,5,9,0,-6.396631992
3.5,5,9,0,-6.040359748
7.5,5,9,0,-6.192337242
1,5,9,0,-5.770324584
3.5,5,9,0,-6.016374906
7.5,5,9,0,-6.495265556
12.5,5,9,1,NA
17.5,5,9,1,NA
22.5,5,9,0,NA
27.5,5,9,0,NA
32.5,5,9,0,NA
37.5,5,9,1,NA
42.5,5,9,1,NA
47.5,5,9,1,NA
55,5,9,0,NA
1,5,9,0,-5.503632604
3.5,5,9,0,-6.3621808
12.5,5,9,1,NA
17.5,5,9,0,NA
22.5,5,9,1,NA
27.5,5,9,1,NA
32.5,5,9,1,NA
37.5,5,9,1,NA
42.5,5,9,1,NA
47.5,5,9,1,NA
55,5,9,1,NA
1,5,9,0,-5.232669616
3.5,5,9,0,-5.816168255
7.5,5,9,0,-6.003633198
12.5,5,9,0,NA
17.5,5,9,1,NA
22.5,5,9,0,NA
27.5,5,9,0,NA
32.5,5,9,1,NA
37.5,5,9,0,NA
42.5,5,9,1,NA
47.5,5,9,1,NA
55,5,9,0,NA
1,5,9,0,-6.976698149
3.5,5,9,0,-7.257037967
7.5,5,9,0,-5.91710902
12.5,5,9,0,NA
17.5,5,9,1,NA
22.5,5,9,0,NA
27.5,5,9,0,NA
32.5,5,9,1,NA
37.5,5,9,0,NA
42.5,5,9,0,NA
47.5,5,9,1,NA
55,5,9,1,NA
1,6,8,0,-5.718704598
3.5,6,8,0,-5.277670905
7.5,6,8,0,-5.833338109
1,6,8,0,NA
3.5,6,8,0,NA
7.5,6,8,0,NA
1,6,8,0,-5.495672411
3.5,6,8,0,-5.499928423
7.5,6,8,0,-7.185066451
1,6,8,0,-6.245912948
3.5,6,8,0,-7.043327856
7.5,6,8,0,NA
15,6,8,0,NA
25,6,8,1,NA
35,6,8,1,NA
1,6,8,0,-5.265144309
3.5,6,8,0,-5.286481127
7.5,6,8,0,-6.142794351
15,6,8,1,NA
25,6,8,0,NA
35,6,8,0,NA
45,6,8,1,NA
1,6,9,0,-6.312943999
3.5,6,9,0,-6.255810021
7.5,6,9,0,-5.656696739
1,6,9,0,-9.864278839
3.5,6,9,0,-6.739050272
7.5,6,9,0,-6.429181699
1,6,9,0,-6.278225142
3.5,6,9,0,-5.35959259
7.5,6,9,0,-5.544885097
1,6,9,0,-5.735416712
3.5,6,9,0,-6.041398151
7.5,6,9,0,-6.315116863
25,6,9,0,NA
1,6,9,0,-4.77658175
3.5,6,9,0,-5.747576393
7.5,6,9,0,-5.938203195
15,6,9,0,NA
25,6,9,0,NA
35,6,9,1,NA
45,6,9,0,NA
1,3,11,1,NA
